x [m],Heat flux [MW/m^2]
1.213118085000000103e-03,1.443973283999999957e+01
1.213243812999999921e-03,1.426615501000000030e+01
1.213495502999999923e-03,1.411597225000000044e+01
1.213874434999999983e-03,1.395141738999999959e+01
1.214382703999999967e-03,1.378702827000000042e+01
1.215023453999999892e-03,1.362941183999999950e+01
1.215799479000000084e-03,1.347215830000000025e+01
1.216714969000000065e-03,1.330465762000000041e+01
1.217775162999999933e-03,1.312031288999999923e+01
1.218985766000000096e-03,1.291528077999999979e+01
1.220353063999999937e-03,1.268887233999999964e+01
1.221885206000000073e-03,1.243636234999999957e+01
1.223590923000000092e-03,1.215997961999999966e+01
1.225479762000000012e-03,1.185912689000000064e+01
1.227563014000000036e-03,1.153292223999999955e+01
1.229853020000000073e-03,1.118305430000000023e+01
1.232364214999999907e-03,1.080569372000000072e+01
1.235112081999999905e-03,1.040629277999999935e+01
1.238114433000000016e-03,9.980833506999999827e+00
1.241390942999999903e-03,9.531554763000000818e+00
1.244963379999999972e-03,9.064119804000000613e+00
1.248856541000000018e-03,8.568323827000000392e+00
1.253097784000000011e-03,8.060676231000000413e+00
1.257717144000000068e-03,7.532145209000000285e+00
1.262748614000000101e-03,6.989386577000000322e+00
1.268229913000000096e-03,6.441519429000000407e+00
1.274202834000000024e-03,5.878716629000000360e+00
1.280713244000000056e-03,5.345298940000000165e+00
1.287811319000000060e-03,4.789776904000000002e+00
1.295552473000000007e-03,4.225739707999999872e+00
1.303995958999999922e-03,3.658440371999999829e+00
1.313205225999999979e-03,3.297584029999999888e+00
1.323246397000000076e-03,2.699677271000000101e+00
1.334185945000000012e-03,2.312928900999999815e+00
1.345622120000000048e-03,1.943426498000000002e+00
1.357895670999999943e-03,1.740324280999999917e+00
1.371894963000000077e-03,1.592833071000000045e+00
1.387861673999999908e-03,1.471264219000000040e+00
1.406070542999999931e-03,1.366867129999999930e+00
1.426834263999999901e-03,1.274054100000000078e+00
1.450508833000000017e-03,1.190250154999999976e+00
1.477498560999999976e-03,1.112393667999999947e+00
1.508263405000000038e-03,1.039049738999999972e+00
1.543325139000000000e-03,9.701639435000000145e-01
1.583276317000000032e-03,9.057325295999999470e-01
1.628788887000000079e-03,8.456541744000000138e-01
1.680623973000000028e-03,7.897068607999999656e-01
1.739643047999999944e-03,7.376197648000000218e-01
1.806820044000000038e-03,6.889311312000000465e-01
1.883254154000000040e-03,6.442394513000000433e-01
1.970184733999999927e-03,6.025430998999999899e-01
2.069005743000000130e-03,5.648137991999999663e-01
2.181282965000000146e-03,5.300190098000000516e-01
2.308769384000000213e-03,4.996089525999999892e-01
2.453424268999999849e-03,4.644345951000000139e-01
2.617429475999999942e-03,4.705251663000000195e-01
2.803205512000000142e-03,4.278322499000000168e-01
3.013427835000000079e-03,4.020541444999999880e-01
3.251038725000000070e-03,3.798394690999999934e-01
3.519256598999999895e-03,3.615058459000000113e-01
3.821578109999999948e-03,3.444961093000000196e-01
4.161774646000000050e-03,3.295663642000000171e-01
4.543876740999999719e-03,3.138063822000000114e-01
4.972148220999999570e-03,3.057339304000000202e-01
5.451040808000000119e-03,2.913360685999999977e-01
5.985134746999999644e-03,2.798640010999999816e-01
6.579050793999999779e-03,2.703709685999999834e-01
7.237344514999999832e-03,2.609601582000000142e-01
7.964368910000000149e-03,2.515737979000000069e-01
8.764110505999999148e-03,2.424096404999999954e-01
9.640001691999999442e-03,2.333009973999999875e-01
1.059471071000000000e-02,2.241719634000000072e-01
1.162991485999999991e-02,2.155724642999999885e-01
1.274607143999999942e-02,2.063981340999999914e-01
1.394220068999999992e-02,1.984977817999999949e-01
1.521569396999999935e-02,1.897694910000000124e-01
1.656217314000000065e-02,1.825109084000000048e-01
1.797541044999999976e-02,1.742519429000000120e-01
1.944733783999999868e-02,1.677280992000000082e-01
2.096815594000000019e-02,1.609616423999999935e-01
2.252653054999999988e-02,1.551921031999999867e-01
2.410990186000000132e-02,1.488333921999999976e-01
2.570487185999999896e-02,1.446964005999999969e-01
2.729764021999999887e-02,1.403711082000000110e-01
2.887448482000000080e-02,1.367504391999999902e-01
3.042222559000000090e-02,1.337031558000000009e-01
3.192865848999999756e-02,1.315016823000000057e-01
3.338290378000000058e-02,1.302273221999999953e-01
3.477570041999999972e-02,1.300026045999999880e-01
3.609955311000000167e-02,1.308672780000000035e-01
3.734883293999999992e-02,1.323636968999999941e-01
3.851973264999999924e-02,1.343606269000000020e-01
3.961017727999999877e-02,1.365277551000000089e-01
4.061967134000000340e-02,1.386292044000000112e-01
4.154907911999999870e-02,1.405888251000000089e-01
4.240042715999999684e-02,1.422781904000000042e-01
4.317663983000000205e-02,1.438385444999999985e-01
4.388135298999999712e-02,1.448496504000000018e-01
4.455129801999999778e-02,1.458251714000000088e-01
4.522124304999999844e-02,1.465838036999999872e-01
4.589118435999999662e-02,1.471811192999999962e-01
4.656112938999999729e-02,1.476210226999999930e-01
4.723107441999999795e-02,1.479180561000000005e-01
4.790101944999999861e-02,1.480926421000000048e-01
4.857096449000000010e-02,1.481619668999999972e-01
4.924090578999999746e-02,1.481436409000000121e-01
4.991085081999999812e-02,1.480499291000000051e-01
5.058079584999999878e-02,1.478894223999999979e-01
5.125074089000000027e-02,1.476726586000000063e-01
5.192068592000000093e-02,1.474104696999999908e-01
5.259063095000000160e-02,1.471120690000000120e-01
5.326057224999999895e-02,1.467851856999999871e-01
5.393051729000000044e-02,1.464349214000000010e-01
5.460046232000000110e-02,1.460638474000000020e-01
5.527040735000000177e-02,1.456751648999999871e-01
5.594035238000000243e-02,1.452712314999999865e-01
5.661029369000000061e-02,1.448547611000000068e-01
5.728023872000000127e-02,1.444290175000000065e-01
5.795018375000000194e-02,1.439971314999999863e-01
5.862012878000000260e-02,1.435617931000000014e-01
5.929007381000000326e-02,1.431251540000000044e-01
5.996001512000000144e-02,1.426880011999999975e-01
6.062996015000000211e-02,1.422516070000000021e-01
6.129990518000000277e-02,1.418174114000000097e-01
6.196985021000000343e-02,1.413857813999999935e-01
6.263979524000000410e-02,1.409572883999999915e-01
6.330973654999999534e-02,1.405328157000000078e-01
6.397968531000000625e-02,1.401131035000000025e-01
6.464962660999999666e-02,1.396982649999999881e-01
6.531956792000000178e-02,1.392886027000000138e-01
6.598951667999999882e-02,1.388843788000000135e-01
6.665945798000000311e-02,1.384855301000000039e-01
6.732940674000000014e-02,1.380922357999999905e-01
6.799934804000000443e-02,1.377047751999999903e-01
6.866928934999999568e-02,1.373229777999999957e-01
6.933923811000000659e-02,1.369471572000000026e-01
7.000917940999999700e-02,1.365772979000000054e-01
7.067912816999999404e-02,1.362130591000000057e-01
7.134906947999999915e-02,1.358543332999999909e-01
7.201901078000000345e-02,1.355013519999999916e-01
